20251022 10:56:00,7.18,7.26,7.12,7.175,0,0,2,2,0
20251022 10:57:00,7.16,7.22,7.14,7.185,0,0,2,2,0
20251022 10:58:00,7.19,7.19,7.07,7.14,0,0,2,2,0
20251022 10:59:00,7.16,7.21,7.16,7.1775,0,0,2,2,0
20251022 11:00:00,7.17,7.18,6.7,7.00775,0,0,2,2,1
20251022 11:01:00,7.0755,7.24,6.87,7.059999,0,0,2,2,2
20251022 11:02:00,7.065,7.18,7.065,7.1275,0,0,2,2,0
20251022 11:03:00,7.125,7.125,6.94,7.05,0,0,2,2,0
20251022 11:04:00,7.07,7.07,6.9,6.9825,0,0,2,2,0
20251022 11:05:00,6.99,6.99,6.8,6.9125,0,0,2,2,0
20251022 11:06:00,6.94,6.94,6.55,6.765,0,0,2,2,0
20251022 11:07:00,6.795,6.795,6.66,6.7025,0,0,2,2,0
20251022 11:08:00,6.7,6.72,6.23,6.5125,0,0,2,2,1
20251022 11:09:00,6.55,6.55,6.37,6.434999,0,0,2,2,0
20251022 11:10:00,6.43,6.8,6.43,6.63,0,0,2,2,0
20251022 11:11:00,6.63,6.81,6.63,6.765,0,0,2,2,2
20251022 11:12:00,6.775,6.775,6.59,6.6775,0,0,2,2,0
20251022 11:13:00,6.68,6.76,6.62,6.6725,0,0,2,2,0
20251022 11:14:00,6.655,6.69,6.61,6.665,0,0,2,2,0
20251022 11:15:00,6.68,6.74,6.62,6.6725,0,0,2,2,0
20251022 11:16:00,6.665,6.68,6.6,6.635,0,0,2,2,0
20251022 11:17:00,6.63,6.63,6.4,6.53,0,0,2,2,1
20251022 11:18:00,6.56,6.64,6.53,6.5775,0,0,2,2,0
20251022 11:19:00,6.57,6.75,6.57,6.6675,0,0,2,2,0
20251022 11:20:00,6.655,6.89,6.655,6.7675,0,0,2,2,0
20251022 11:21:00,6.74,6.85,6.74,6.81,0,0,2,2,0
20251022 11:22:00,6.815,6.9,6.815,6.865,0,0,2,2,2
20251022 11:23:00,6.865,6.9,6.81,6.865,0,0,2,2,2
20251022 11:24:00,6.875,6.9,6.72,6.8075,0,0,2,2,2
